stock,date,article_count,avg_sentiment
AMD,2025-05-12,10,0.198
AMD,2025-05-13,9,0.384
AMD,2025-05-14,8,0.153
AMD,2025-05-15,8,0.381
Amazon,2025-05-12,10,-0.015
Amazon,2025-05-13,10,0.541
Amazon,2025-05-14,10,0.426
Amazon,2025-05-15,10,0.226
Apple,2025-05-12,9,0.997
Apple,2025-05-13,10,0.448
Apple,2025-05-14,10,0.612
Apple,2025-05-15,9,0.804
Google,2025-05-12,10,0.938
Google,2025-05-13,10,0.635
Google,2025-05-14,10,-0.051
Google,2025-05-15,10,0.399
Meta,2025-05-12,8,0.234
Meta,2025-05-13,10,0.413
Meta,2025-05-14,8,0.863
Meta,2025-05-15,10,0.311
Microsoft,2025-05-12,9,0.554
Microsoft,2025-05-13,10,0.345
Microsoft,2025-05-14,9,0.599
Microsoft,2025-05-15,10,0.413
Netflix,2025-05-12,9,0.556
Netflix,2025-05-13,9,0.391
Netflix,2025-05-14,10,0.763
Netflix,2025-05-15,10,0.567
Nvidia,2025-05-12,8,0.179
Nvidia,2025-05-13,4,-0.441
Nvidia,2025-05-14,8,0.065
Nvidia,2025-05-15,7,0.202
Palantir,2025-05-12,8,0.165
Palantir,2025-05-13,2,-1.0
Palantir,2025-05-14,6,0.232
Palantir,2025-05-15,9,-0.278
Tesla,2025-05-12,6,0.4
Tesla,2025-05-13,6,0.192
Tesla,2025-05-14,8,0.396
Tesla,2025-05-15,8,0.627
